"AGRUPACION","ESPACIO"
"ALTERNATIVA POPULAR","Otro"
"CAMINO POPULAR","Otro"
"COMPROMISO CIVICO NEUQUINO","FCyS"
"COMPROMISO FEDERAL","ConFe"
"ENCUENTRO VECINAL CORDOBA","Otro"
"ESPACIO DEMOCRATICO PARA LA VICTORIA","FpV"
"FRENTE ACUERDO CIVICO Y SOCIAL","FCyS"
"FRENTE AMPLIO FORMOSEÑO","FCyS"
"FRENTE AMPLIO PROGRESISTA","FCyS"
"FRENTE AMPLIO PROGRESISTA-COALICION CIVICA ARI","FCyS"
"FRENTE CIVICO POR SANTIAGO","FCSS"
"FRENTE CIVICO Y SOCIAL","FCyS"
"FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","Izq"
"FRENTE DEL PUEBLO","Izq"
"FRENTE JUJEÑO","FCyS"
"FRENTE PARA LA VICTORIA","FpV"
"FRENTE POPULAR DEMOCRATICO Y SOCIAL","Otro"
"FRENTE POPULAR SALTEÑO","Pro"
"FRENTE PRIMERO JUJUY","FCyS"
"FRENTE PROGRESISTA CIVICO Y SOCIAL","FCyS"
"FRENTE PROGRESISTA SUR","FCyS"
"FRENTE PROPUESTA FEDERAL","Pro"
"FRENTE RENOVADOR","PJ no K"
"FRENTE RENOVADOR DE LA CONCORDIA","FCSS"
"FRENTE TERCERA POSICION","PJ no K"
"FRENTE UNIDOS","PJ no K"
"FUERZA CIVICA RIOJANA","FCyS"
"FUERZA REPUBLICANA                              ","Otro"
"IZQUIERDA POR UNA OPCION SOCIALISTA","Izq"
"MOVIMIENTO LIBRES DEL SUR","FCyS"
"MOVIMIENTO POLO SOCIAL, LA TERCERA POSICION DE LA GENTE","Izq"
"MOVIMIENTO POPULAR FUEGUINO                             ","Otro"
"MOVIMIENTO POPULAR NEUQUINO","Otro"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","Izq"
"MOVIMIENTO SOLIDARIO POPULAR","PJ no K"
"MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION","PJ no K"
"ACCION CHUBUTENSE","PJ no K"
"JUSTICIALISTA","FpV"
"FRENTE POPULAR","FCSS"
"PROVINCIAL RIONEGRINO","Otro"
"UNEN","FCyS"
"UNIDOS POR LA LIBERTAD Y EL TRABAJO","PJ no K"
"UNION CIVICA RADICAL","FCyS"
"UNION CIVICA RADICAL                              ","FCyS"
"UNION CON FE","PJ no K"
"UNION FEDERAL","Otro"
"UNION PARA VIVIR MEJOR","FCyS"
"UNION PD-PRO","Pro"
"UNION POPULAR","PJ no K"
"UNION POR CORDOBA","PJ no K"
"UNION POR ENTRE RIOS","Pro"
"UNION PRO","Pro"
"UNION PRO SANTA FE FEDERAL","Pro"
"VECINALISMO INDEPENDIENTE                             ","Otro"
"FRENTE PROGRESISTA","FCyS"
"OBRERO","Izq"
"UNION POR CHACO","FCyS"
